Metric,eBWell,TrueMatrix,Accu-Chek
Accuracy (MARD %),69.38867824933398,25.59260378024224,32.161069585076255
Overall CV (%),23.923790678960376,8.9110544740744,12.493870933082595
Clarke Zone A (%),4.545454545454546,40.54054054054054,72.88135593220339
